25007	13670	9617	7417	6071	5168	4507	3953	3596	3204	2949	2705	2619	2497	2440	
24983	13726	9549	7425	6186	5353	4703	4210	3848	3408	3206	2917	2700	2603	2525	
26845	14768	10288	8008	6786	5802	5150	4696	4536	4221	3952	3528	3382	3187	2967	
32827	21574	15274	11282	9294	8193	6734	6377	6463	6347	6084	6233	6089	5507	6208	
51752	35857	29139	23904	19685	16894	15112	13699	14151	13797	13479	13418	13129	13047	12763	
59324	45098	37285	29834	24946	21496	18788	16652	15884	15314	14793	14311	13949	13599	13378	
59346	45139	37317	29732	24858	21415	18850	16619	15950	15340	14787	14292	13917	13603	13340	
59369	45092	37223	29757	24806	21404	18762	16617	15944	15331	14781	14288	13935	13612	13399	
59883	45844	38203	31076	25864	22317	19587	17254	16727	16276	15874	15612	15299	15470	15378	
64631	50317	44970	39153	33944	30042	26522	23376	23110	22600	22278	22104	22132	22304	22221	
68140	54512	51872	49167	44173	39077	35254	31794	30549	30434	30866	31480	30150	30362	30750	
69967	55477	54490	52501	48590	43895	37981	34070	34257	34199	33355	34134	32163	35946	57281	
86769	80614	81260	79702	77845	75755	76831	73392	73836	75741	83158	82675	77406	70864	82385	
85298	81547	80425	77255	79145	85071	71877	80064	78266	81906	78087	73374	75256	73991	78266	
